sequence,module,start_seconds,end_seconds,print_IDs,components
1,base,0.0,0.5,,table-anchor-plate
2,base,0.667,1.333,P02,base-matte-cover
3,base,1.5,2.0,,yaw-servo | yaw-output--1
4,base,2.167,2.833,P37,yaw-bearing-pedestal
5,base,3.0,3.5,,"yaw-pedestal-(-27, -23)-head | yaw-pedestal-(-27, -23)-thread-envelope | yaw-pedestal-(-27, 23)-head | yaw-pedestal-(-27, 23)-thread-envelope | yaw-pedestal-(27, -23)-head | yaw-pedestal-(27, -23)-thread-envelope | yaw-pedestal-(27, 23)-head | yaw-pedestal-(27, 23)-thread-envelope"
6,base,3.667,4.167,,yaw-61805-bearing
7,base,4.333,4.833,,yaw-turntable | yaw-output-1
8,base,5.0,5.5,,"yaw-horn-bolt-(7, 0)-head | yaw-horn-bolt-(7, 0)-thread-envelope | yaw-horn-bolt-(-7, 0)-head | yaw-horn-bolt-(-7, 0)-thread-envelope | yaw-horn-bolt-(0, 7)-head | yaw-horn-bolt-(0, 7)-thread-envelope | yaw-horn-bolt-(0, -7)-head | yaw-horn-bolt-(0, -7)-thread-envelope"
9,base,5.667,6.333,P38,yaw-rounded-skirt
10,shoulder,7.167,7.667,,shoulder-cradle-floor
11,shoulder,7.833,8.5,P26 P27,shoulder-motor-mount--1 | shoulder-motor-mount-1
12,shoulder,8.667,9.167,,"shoulder-mount-foot-nut-(-1, -11) | shoulder-mount-foot-nut-(-1, 11) | shoulder-mount-foot-nut-(1, -11) | shoulder-mount-foot-nut-(1, 11)"
13,shoulder,9.333,9.833,,shoulder-servo | shoulder-output--1 | shoulder-output-1
14,shoulder,10.0,10.5,,"shoulder-case-mount-(-1, -8, -38)-head | shoulder-case-mount-(-1, -8, -38)-thread-envelope | shoulder-case-mount-(-1, -8, -6)-head | shoulder-case-mount-(-1, -8, -6)-thread-envelope | shoulder-case-mount-(-1, 8, -38)-head | shoulder-case-mount-(-1, 8, -38)-thread-envelope | shoulder-mount-foot-(-1, -11)-head | shoulder-mount-foot-(-1, -11)-thread-envelope | shoulder-mount-foot-(-1, 11)-head | shoulder-mount-foot-(-1, 11)-thread-envelope | shoulder-case-mount-(1, -8, -38)-head | shoulder-case-mount-(1, -8, -38)-thread-envelope | shoulder-case-mount-(1, -8, -6)-head | shoulder-case-mount-(1, -8, -6)-thread-envelope | shoulder-case-mount-(1, 8, -38)-head | shoulder-case-mount-(1, 8, -38)-thread-envelope | shoulder-mount-foot-(1, -11)-head | shoulder-mount-foot-(1, -11)-thread-envelope | shoulder-mount-foot-(1, 11)-head | shoulder-mount-foot-(1, 11)-thread-envelope"
15,shoulder,10.667,11.167,,shoulder-bearing-carrier--1
16,shoulder,11.333,11.833,,shoulder-61806-bearing--1
17,shoulder,12.0,12.667,P15,lower-U-body | shoulder-drive-flange--1 | shoulder-drive-flange-1
18,shoulder,12.833,13.333,,"lower-cassette-nut-(-16, 63) | lower-cassette-nut-(-16, 77) | lower-cassette-nut-(16, 63) | lower-cassette-nut-(16, 77)"
19,shoulder,13.5,14.0,,shoulder-bearing-carrier-1
20,shoulder,14.167,14.667,,shoulder-61806-bearing-1
