harness,from_terminal,to_terminal,net,awg,proposed_cut_length_mm,status,note,from_world_xyz_mm,to_world_xyz_mm,endpoint_evidence
W01,Charger SYSOUT positive,Carrier J1.1,SYS_RAW,24,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,"JST PH polarity must be measured, never infer from wire color alone",,"[-21.92, 8.8, 73.3]",Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W01,Charger SYSOUT GND,Carrier J1.2,GND,24,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,,,"[-21.92, 8.8, 70.76]",Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W02,Carrier J4.1,Pololu2810 VIN,SYS_FUSED,24,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,,"[-21.92, 8.8, 65.68]","[8.65, 22.25, 58.35]",Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W02,Pololu2810 VOUT,Carrier J4.2,SYS_SW,24,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Internal service master switch; charging can remain active while system off. ON and external SW pads unused.,"[21.35, 22.25, 58.35]","[-21.92, 8.8, 63.14]",Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W02,Carrier J3.2 GND,Pololu2810 GND,GND,24,80,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Dedicated return from optional audio header ground. Audio module DNP in base; do not double-crimp a shared terminal without a released harness method.,"[17.450000000000003, 8.8, 51.71]","[21.35, 22.25, 53.27]",Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W03,Carrier J5.1,Pololu S7V8F5 labeled VIN,SYS_SW,24,60,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Named pad wiring; no claim that carrier order equals module header order. SHDN default enable; operating UVLO remains open.,"[-15.57, 8.8, 56.79]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W03,Carrier J5.2,Pololu S7V8F5 labeled GND,GND,24,60,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Named pad wiring; no claim that carrier order equals module header order. SHDN default enable; operating UVLO remains open.,"[-15.57, 8.8, 54.25]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W03,Carrier J5.3,Pololu S7V8F5 labeled VOUT,+5V,24,60,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Named pad wiring; no claim that carrier order equals module header order. SHDN default enable; operating UVLO remains open.,"[-15.57, 8.8, 51.71]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W04,Carrier J2.1,Adafruit5206 JP1.1 VIN,+3V3,28,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Manufacturer Eagle JP1 mapping; directly solder low-profile insulated wires.,"[19.990000000000002, 8.8, 77.11]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W04,Carrier J2.2,Adafruit5206 JP1.3 GND,GND,28,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Manufacturer Eagle JP1 mapping; directly solder low-profile insulated wires.,"[19.990000000000002, 8.8, 74.57]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W04,Carrier J2.3,Adafruit5206 JP1.4 SCK,SPI_SCK,28,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Manufacturer Eagle JP1 mapping; directly solder low-profile insulated wires.,"[19.990000000000002, 8.8, 72.03]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W04,Carrier J2.4,Adafruit5206 JP1.6 MOSI,SPI_MOSI,28,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Manufacturer Eagle JP1 mapping; directly solder low-profile insulated wires.,"[19.990000000000002, 8.8, 69.49]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
W04,Carrier J2.5,Adafruit5206 JP1.7 TFTCS,LCD_CS,28,90,assembly proposal; cut lengths include service allowance and await native route + physical assembly,Manufacturer Eagle JP1 mapping; directly solder low-profile insulated wires.,"[19.990000000000002, 8.8, 66.95]",,Known carrier pads from checked CAD; Pololu2810 selected terminals from supplier DXF/pinout and CTRL02 pose. Null endpoints are not located by this map.
