Reference,Manufacturer,Part_or_MPN,Quantity,Installation,Dimensions_mm,Qualification_note
EL01,Adafruit,5206_ST7789_1.69inch,1,Base,"45.72 x 36.83 PCB; product depth5.4","Actual Eagle board supersedes product dimensions and generic hole pattern; header/harness space additional"
EL02,Custom,DC-E02_carrier,1,Base,"54 x 46 x 1.6","Editable two-layer candidate; manufacture BLOCKED"
EL03,Seeed_Studio,XIAO_ESP32-S3_non-Sense,1,Base,"21 x 17.8 board","Purchased compute module; no camera; use removable sockets; BAT pads unconnected"
EL04,Adafruit,4755_BQ24074_charger,1,Base,"38.10 x 33.02 PCB","Factory ISET and THERM changes required; EN1/EN2 input limit configuration required"
EL05,Adafruit_PKCELL_linked_drawing,258_LP503562_PCM_1200mAh,1,Base,"62 +/-0.3 x 35 +/-0.3 x 5 +/-0.3","Drawing width conflicts with product 34mm text; verify delivered lot polarity and protection"
EL06,Pololu,2123_S7V8F5,1,Base,"16.51 x 11.43 x 2.54","Named-pad wired module; regulate to 5V; operating UVLO and enclosure load testing open"
EL07,Adafruit,3006_MAX98357A,0,DNP_option,"19.4 x 17.8 x 3 before terminal allowance","Optional audio placement and supply margin not accepted"
EL08,Seeed_supplied,External_UFL_antenna,1,Base,"25 x 10 x 12 reservation only","Actual supplied antenna revision and dimensions not confirmed; RF qualification open"
NTC1,Semitec,103AT-2,1,Base,"Lead and attachment envelope pending","10k at25C; thermistor attachment and charge-window tolerance validation open"
SW_POWER,Pololu,2810_Mini_MOSFET_Slide_Switch_LV,1,Base,"15.24x15.24PCB;16.129includingprojection;2.54depthreservation","Internal service switch accessed after upperbody removal; J4.1VIN/J4.2VOUT plusJ3.2GND; exact stroke/force unreported"
SW_USER,Omron,B3F-1002-G,1,Base,"6+/-0.2square;4.3+/-0.2overallheight;3.5nomleads","Gold contact matches0.33mA bias;1.76+/-0.49N;PT0.15..0.45mm; J6.1to1/J6.2to3; retainer/TPU force physically unverified"
F_PACK,TBD,Inline_pack_positive_fuse_and_holder,1,Required_before_battery_operation,TBD,"Exact coordination with pack PCM wire ampacity and fault energy not released; F1 is downstream system fuse"
SPK1,TBD,Speaker_for_BTL_amplifier,0,DNP_option,TBD,"Impedance power rating enclosure opening and fixation not selected; neither output grounded"
U1_SOCKET,TBD,2.54mm_1x7_removable_socket,2,Base,"15.24 row spacing; pin pitch2.54","Exact manufacturer height and mating dimensions need release review; allocated compute assembly depth10mm"
J_HARNESS,TBD,2.54mm_prototype_headers_and_wire_terminations,8,Engineering_candidate,"Pitch2.54; per CAD pin counts","Keyed production connectors strain relief and crimp tooling not selected"
USB_SUPPLY,TBD,Dedicated_regulated_5V_USB-C_supply,1,External,TBD,"Current capability and USB source compatibility must be verified; no PD negotiation implemented"
